group,value
SVM,0.51
SVM,0.55
SVM,0.54
SVM,0.53
SVM,0.52
SVM,0.62
SVM,0.57
SVM,0.71
SVM,0.78
SVM,0.82
SVM,0.84
SVM,0.51
SVM,0.5
SVM,0.8
SVM,0.74
SVM,0.81
SVM,0.83
SVM,0.64
SVM,0.52
SVM,0.81
SVM,0.56
SVM,0.78
SVM-DQN,0.74
SVM-DQN,0.73
SVM-DQN,0.74
SVM-DQN,0.78
SVM-DQN,0.71
SVM-DQN,0.78
SVM-DQN,0.78
SVM-DQN,0.79
SVM-DQN,0.81
SVM-DQN,0.78
SVM-DQN,0.86
SVM-DQN,0.72
SVM-DQN,0.77
SVM-DQN,0.78
SVM-DQN,0.79
SVM-DQN,0.81
SVM-DQN,0.85
SVM-DQN,0.75
SVM-DQN,0.78
SVM-DQN,0.76
SVM-DQN,0.72
SVM-DQN,0.78
KNN,0.51
KNN,0.49
KNN,0.69
KNN,0.66
KNN,0.69
KNN,0.77
KNN,0.66
KNN,0.66
KNN,0.58
KNN,0.64
KNN,0.82
KNN,0.82
KNN,0.83
KNN,0.81
KNN,0.72
KNN,0.66
KNN,0.72
KNN-DQN,0.82
KNN-DQN,0.79
KNN-DQN,0.81
KNN-DQN,0.82
KNN-DQN,0.78
KNN-DQN,0.81
KNN-DQN,0.81
KNN-DQN,0.85
KNN-DQN,0.82
KNN-DQN,0.81
KNN-DQN,0.87
KNN-DQN,0.87
KNN-DQN,0.85
KNN-DQN,0.86
KNN-DQN,0.84
KNN-DQN,0.84
KNN-DQN,0.86
KNN-DQN,0.84
KNN-DQN,0.79
KNN-DQN,0.76
KNN-DQN,0.81
KNN-DQN,0.82
DT,0.58
DT,0.48
DT,0.40
DT,0.54
DT,0.72
DT,0.58
DT,0.60
DT,0.54
DT,0.72
DT,0.72
DT,0.76
DT,0.81
DT,0.72
DT,0.79
DT,0.81
DT,0.78
DT,0.81
DT,0.54
DT,0.69
Decision Tree-DQN,0.79
Decision Tree-DQN,0.75
Decision Tree-DQN,0.82
Decision Tree-DQN,0.85
Decision Tree-DQN,0.82
Decision Tree-DQN,0.8
Decision Tree-DQN,0.83
Decision Tree-DQN,0.87
Decision Tree-DQN,0.84
Decision Tree-DQN,0.8
Decision Tree-DQN,0.82
Decision Tree-DQN,0.86
Decision Tree-DQN,0.85
Decision Tree-DQN,0.86
Decision Tree-DQN,0.85
Decision Tree-DQN,0.85
Decision Tree-DQN,0.81
Decision Tree-DQN,0.83
Decision Tree-DQN,0.76
Decision Tree-DQN,0.83
Decision Tree-DQN,0.82
Decision Tree-DQN,0.85
