group,value
SVM,0.75
SVM,0.82
SVM,0.66
SVM,0.94
SVM,0.4
SVM,0.75
SVM,0.85
SVM,0.78
SVM,0.72
SVM,0.78
SVM,0.69
SVM,0.51
SVM,0.75
SVM,0.99
SVM,0.82
SVM,0.72
SVM,0.91
SVM,0.6
SVM,0.56
SVM,0.83
SVM,0.78
SVM,0.76
SVM-DQN,0.78
SVM-DQN,0.79
SVM-DQN,0.82
SVM-DQN,0.87
SVM-DQN,0.72
SVM-DQN,0.79
SVM-DQN,0.83
SVM-DQN,0.85
SVM-DQN,0.83
SVM-DQN,0.82
SVM-DQN,0.79
SVM-DQN,0.75
SVM-DQN,0.78
SVM-DQN,0.86
SVM-DQN,0.86
SVM-DQN,0.84
SVM-DQN,0.86
SVM-DQN,0.79
SVM-DQN,0.76
SVM-DQN,0.82
SVM-DQN,0.78
SVM-DQN,0.79
KNN,0.78
KNN,0.72
KNN,0.74
KNN,0.87
KNN,0.72
KNN,0.75
KNN,0.78
KNN,0.79
KNN,0.72
KNN,0.68
KNN,0.72
KNN,0.75
KNN,0.8
KNN,0.72
KNN,0.82
KNN,0.69
KNN,0.71
KNN,0.66
KNN,0.54
KNN,0.69
KNN-DQN,0.79
KNN-DQN,0.82
KNN-DQN,0.79
KNN-DQN,0.91
KNN-DQN,0.83
KNN-DQN,0.82
KNN-DQN,0.74
KNN-DQN,0.86
KNN-DQN,0.79
KNN-DQN,0.82
KNN-DQN,0.85
KNN-DQN,0.79
KNN-DQN,0.81
KNN-DQN,0.91
KNN-DQN,0.86
KNN-DQN,0.83
KNN-DQN,0.87
KNN-DQN,0.81
KNN-DQN,0.85
KNN-DQN,0.86
KNN-DQN,0.87
KNN-DQN,0.78
DT,0.62
DT,0.71
DT,0.69
DT,0.84
DT,0.69
DT,0.69
DT,0.82
DT,0.65
DT,0.73
DT,0.62
DT,0.80
DT,0.69
DT,0.81
DT,0.83
DT,0.75
DT,0.75
DT,0.74
DT,0.65
Decision Tree-DQN,0.82
Decision Tree-DQN,0.83
Decision Tree-DQN,0.79
Decision Tree-DQN,0.88
Decision Tree-DQN,0.77
Decision Tree-DQN,0.79
Decision Tree-DQN,0.89
Decision Tree-DQN,0.79
Decision Tree-DQN,0.82
Decision Tree-DQN,0.79
Decision Tree-DQN,0.82
Decision Tree-DQN,0.81
Decision Tree-DQN,0.79
Decision Tree-DQN,0.85
Decision Tree-DQN,0.88
Decision Tree-DQN,0.89
Decision Tree-DQN,0.82
Decision Tree-DQN,0.81
Decision Tree-DQN,0.81
Decision Tree-DQN,0.84
Decision Tree-DQN,0.75
