group,value
Decision Tree-DQN,0.69
Decision Tree-DQN,0.55
Decision Tree-DQN,0.62
Decision Tree-DQN,0.64
Decision Tree-DQN,0.63
Decision Tree-DQN,0.61
Decision Tree-DQN,0.71
Decision Tree-DQN,0.49
Decision Tree-DQN,0.53
Decision Tree-DQN,0.49
Decision Tree-DQN,0.60
Decision Tree-DQN,0.53
Decision Tree-DQN,0.69
Decision Tree-DQN,0.56
Decision Tree-DQN,0.68
Decision Tree-DQN,0.68
Decision Tree-DQN,0.61
Decision Tree-DQN,0.63
Decision Tree-DQN,0.51
Decision Tree-DQN,0.57
Decision Tree-DQN,0.61
Decision Tree-DQN,0.65
PCA,0.61
PCA,0.51
PCA,0.55
PCA,0.55
PCA,0.53
PCA,0.69
PCA,0.65
PCA,0.43
PCA,0.42
PCA,0.41
PCA,0.58
PCA,0.52
PCA,0.57
PCA,0.43
PCA,0.59
PCA,0.58
PCA,0.54
PCA,0.55
PCA,0.47
PCA,0.45
PCA,0.42
PCA,0.51
ECE,0.58
ECE,0.48
ECE,0.52
ECE,0.55
ECE,0.52
ECE,0.59
ECE,0.61
ECE,0.51
ECE,0.47
ECE,0.45
ECE,0.53
ECE,0.51
ECE,0.42
ECE,0.58
ECE,0.58
ECE,0.51
ECE,0.53
ECE,0.59
ECE,0.47
ECE,0.46
ECE,0.57
ECE,0.52
IG,0.58
IG,0.46
IG,0.52
IG,0.52
IG,0.59
IG,0.55
IG,0.62
IG,0.43
IG,0.51
IG,0.45
IG,0.59
IG,0.49
IG,0.61
IG,0.52
IG,0.59
IG,0.61
IG,0.53
IG,0.59
IG,0.45
IG,0.52
IG,0.56
IG,0.56
CS,0.61
CS,0.52
CS,0.55
CS,0.57
CS,0.56
CS,0.59
CS,0.68
CS,0.44
CS,0.51
CS,0.44
CS,0.59
CS,0.51
CS,0.62
CS,0.52
CS,0.57
CS,0.62
CS,0.56
CS,0.51
CS,0.41
CS,0.49
CS,0.45
CS,0.59
