group,value
SVM,0.09
SVM,0.21
SVM,0.18
SVM,0.23
SVM,0.16
SVM,0.12
SVM,0.29
SVM,0.21
SVM,0.24
SVM,0.21
SVM,0.29
SVM,0.09
SVM,0.25
SVM,0.65
SVM,0.77
SVM,0.65
SVM,0.29
SVM,0.64
SVM,0.15
SVM,0.68
SVM,0.21
SVM,0.57
SVM-DQN,0.54
SVM-DQN,0.56
SVM-DQN,0.61
SVM-DQN,0.68
SVM-DQN,0.56
SVM-DQN,0.50
SVM-DQN,0.55
SVM-DQN,0.66
SVM-DQN,0.62
SVM-DQN,0.69
SVM-DQN,0.53
SVM-DQN,0.61
SVM-DQN,0.59
SVM-DQN,0.71
SVM-DQN,0.66
SVM-DQN,0.72
SVM-DQN,0.64
SVM-DQN,0.75
SVM-DQN,0.62
SVM-DQN,0.59
SVM-DQN,0.42
SVM-DQN,0.63
KNN,0.22
KNN,0.43
KNN,0.54
KNN,0.47
KNN,0.22
KNN,0.52
KNN,0.38
KNN,0.42
KNN,0.38
KNN,0.35
KNN,0.26
KNN,0.28
KNN,0.54
KNN,0.44
KNN,0.13
KNN,0.36
KNN,0.25
KNN,0.35
KNN,0.29
KNN-DQN,0.68
KNN-DQN,0.68
KNN-DQN,0.61
KNN-DQN,0.32
KNN-DQN,0.71
KNN-DQN,0.67
KNN-DQN,0.58
KNN-DQN,0.55
KNN-DQN,0.71
KNN-DQN,0.44
KNN-DQN,0.51
KNN-DQN,0.43
KNN-DQN,0.63
KNN-DQN,0.69
KNN-DQN,0.53
KNN-DQN,0.62
KNN-DQN,0.55
KNN-DQN,0.44
KNN-DQN,0.66
KNN-DQN,0.69
KNN-DQN,0.55
KNN-DQN,0.58
DT,0.29
DT,0.32
DT,0.42
DT,0.29
DT,0.45
DT,0.33
DT,0.64
DT,0.27
DT,0.22
DT,0.29
DT,0.25
DT,0.37
DT,0.42
DT,0.72
DT,0.37
DT,0.48
DT,0.4
Decision Tree-DQN,0.69
Decision Tree-DQN,0.55
Decision Tree-DQN,0.62
Decision Tree-DQN,0.64
Decision Tree-DQN,0.63
Decision Tree-DQN,0.61
Decision Tree-DQN,0.71
Decision Tree-DQN,0.49
Decision Tree-DQN,0.53
Decision Tree-DQN,0.49
Decision Tree-DQN,0.60
Decision Tree-DQN,0.53
Decision Tree-DQN,0.69
Decision Tree-DQN,0.56
Decision Tree-DQN,0.68
Decision Tree-DQN,0.68
Decision Tree-DQN,0.61
Decision Tree-DQN,0.63
Decision Tree-DQN,0.51
Decision Tree-DQN,0.57
Decision Tree-DQN,0.61
Decision Tree-DQN,0.65
