id,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,defects
3705,3,2,4,0,4,2,0.4,2,2.0,2,1.0,7,1,0,1,2,13.87,4.67,302.05,0.02,17,0.21,16.78,64.73,0.5,1,2,7,0.29,7,10,6,8,7,80.0,5,False
153,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,1,6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1.0,0,0,2,0.25,1,5,1,5,4,50.0,2,False
165,1,1,1,0,0,1,0.5,0,0.0,1,1.0,2,1,0,1,2,9.6,2.5,60.0,0.01,8,0.4,3.33,24.0,1.0,0,0,3,0.25,3,5,3,5,4,50.0,2,False
2567,3,2,2,0,4,2,0.67,2,2.0,2,1.0,6,1,0,1,3,16.89,4.5,342.0,0.03,19,0.22,19.0,76.0,0.5,1,2,6,0.4,7,12,7,9,5,66.67,3,False
3023,1,0,1,0,4,1,0.5,2,2.0,1,1.0,1,1,0,1,2,8.0,3.0,72.0,0.01,8,0.33,4.0,24.0,1.0,1,2,2,0.25,2,6,2,6,4,50.0,2,False
723,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,0.25,1,3,1,3,4,50.0,2,False
3150,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,1.0,1,3,1,3,1,0.0,0,False
5399,1,1,0,0,0,1,1.0,0,0.0,1,1.0,2,1,0,1,1,9.51,0.5,2.38,0.0,3,2.0,0.13,4.75,1.0,0,0,3,0.33,2,1,2,1,3,0.0,1,False
1561,5,2,4,0,6,3,0.6,2,3.0,3,1.0,10,3,1,1,2,15.9,5.79,532.29,0.03,23,0.17,29.57,92.0,1.0,2,3,9,0.38,9,14,7,9,8,80.0,5,False
5222,1,1,2,0,0,1,0.33,0,0.0,1,1.0,2,1,0,1,6,19.58,3.5,239.86,0.02,18,0.29,13.33,68.53,1.0,0,0,3,0.25,7,11,7,7,4,66.67,3,False
5527,3,2,4,0,4,2,0.4,2,2.0,2,1.0,7,1,0,1,2,13.87,4.67,302.05,0.02,17,0.21,16.78,64.73,0.5,1,2,7,0.29,7,10,6,8,7,80.0,5,False
1535,12,9,18,2,12,8,0.4,6,2.0,7,0.88,28,5,0,2,1,27.79,11.33,3570.0,0.11,63,0.09,198.33,315.0,0.63,3,6,22,0.33,20,43,15,17,24,90.91,20,False
3869,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,2,10.87,3.5,133.19,0.01,11,0.29,7.4,38.05,1.0,0,0,2,0.33,4,7,4,7,3,50.0,2,False
524,1,1,0,0,0,1,1.0,0,0.0,1,1.0,2,1,0,1,0,9.51,0.5,2.38,0.0,3,2.0,0.13,4.75,1.0,0,0,3,0.33,2,1,2,1,3,0.0,1,False
3521,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0,0,2,1.0,0,1,0,1,1,0.0,0,False
2297,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,1,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,1.0,0,0,2,0.33,2,4,2,4,3,50.0,2,False
3609,1,3,2,0,0,1,0.33,0,0.0,1,1.0,4,1,0,1,0,7.86,2.5,49.13,0.01,7,0.4,2.73,19.65,1.0,0,0,5,0.2,2,5,2,5,5,66.67,3,False
875,1,1,0,0,0,1,1.0,0,0.0,1,1.0,2,1,0,1,2,20.0,0.5,5.0,0.0,5,2.0,0.28,10.0,1.0,0,0,3,0.33,3,2,3,1,3,0.0,1,False
1751,3,1,7,3,4,2,0.22,2,2.0,1,0.5,8,1,0,2,4,19.63,10.05,1980.5,0.07,43,0.1,110.03,197.15,0.5,1,2,8,0.12,17,26,11,13,17,83.33,9,False
5061,5,3,16,8,8,3,0.16,4,2.0,3,1.0,10,1,0,3,0,41.74,6.73,1890.84,0.09,65,0.15,105.05,280.93,0.33,2,4,9,0.1,25,40,13,7,29,88.89,19,True
860,19,4,33,17,28,10,0.26,10,2.8,6,0.6,36,8,0,6,4,21.41,44.0,41453.41,0.31,192,0.02,2302.97,942.12,0.8,9,14,28,0.16,77,115,14,16,61,89.29,39,True
327,7,7,21,6,12,4,0.17,6,2.0,3,0.75,23,1,0,3,2,37.17,15.89,9387.53,0.2,111,0.06,521.53,590.73,0.25,3,6,21,0.13,43,68,23,17,32,90.0,24,True
4789,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,1,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1.0,0,0,2,0.25,2,3,2,3,4,50.0,2,True
1418,104,42,265,43,166,54,0.17,78,2.13,42,0.78,265,23,0,51,0,113.79,56.83,367534.33,2.16,897,0.02,20418.57,6466.88,0.43,44,83,213,0.15,341,556,111,37,361,85.79,316,True
2938,13,7,35,17,20,7,0.19,8,2.5,2,0.29,31,3,0,2,5,28.27,30.31,25970.12,0.29,161,0.03,1442.78,856.83,0.43,6,10,26,0.12,67,94,21,19,60,96.3,37,True
3272,3,4,12,8,4,2,0.15,2,2.0,1,0.5,9,1,0,1,4,24.76,15.0,5570.02,0.12,79,0.07,309.45,371.33,0.5,1,2,9,0.08,30,49,13,13,26,95.24,13,True
2963,7,0,7,2,12,4,0.5,6,2.0,1,0.25,16,1,0,1,2,13.02,12.0,1875.31,0.05,40,0.08,104.18,156.28,0.25,3,6,14,0.33,21,19,7,8,12,90.0,8,True
3310,13,13,67,34,22,7,0.1,10,2.2,6,0.86,45,1,0,4,7,52.27,34.27,61372.9,0.6,319,0.03,3409.61,1791.09,0.14,6,11,40,0.06,129,190,32,17,113,96.19,71,True
5565,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,1,6.67,4.5,135.0,0.01,10,0.22,7.5,30.0,1.0,0,0,2,0.25,3,7,2,6,4,50.0,2,True
4758,5,3,11,7,8,3,0.23,4,2.0,2,0.67,14,1,0,2,0,27.56,12.76,4489.96,0.12,71,0.08,249.44,351.75,0.33,2,4,13,0.14,31,40,17,14,22,90.0,13,True
3136,1,0,3,6,0,1,0.25,0,0.0,1,1.0,1,1,0,1,0,19.19,7.71,1141.85,0.05,40,0.13,63.44,148.02,1.0,0,0,2,0.08,18,22,7,6,12,90.0,4,True
3489,5,1,8,4,6,3,0.33,2,3.0,2,0.67,7,3,1,1,3,27.51,13.75,5202.03,0.13,75,0.07,289.0,378.33,1.0,2,3,6,0.2,33,42,18,15,15,92.31,9,True
1682,29,10,66,26,80,15,0.22,28,2.86,1,0.07,98,1,0,2,0,156.97,25.68,103547.47,1.34,618,0.04,5752.64,4031.56,0.07,26,40,85,0.16,244,374,76,16,96,97.87,68,True
2069,1,1,1,0,0,1,0.5,0,0.0,1,1.0,2,1,0,1,3,12.56,5.6,393.73,0.02,19,0.18,21.87,70.31,1.0,0,0,3,0.17,7,12,5,8,6,50.0,2,True
