id,LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,defects
1,17,11,5,2,8,20,6,0.25,10,2,4,0.67,29,1,0,22,7,37.84,13.83,7233.63,0.17,102,0.07,401.87,523.19,0.17,5,10,25,0.11,53,49,23,12,57,31.25,24,False
2,2,9,3,0,1,16,5,0.56,6,2,3,0.6,17,4,0,9,1,12.5,13.0,2112.7,0.05,37,0.08,117.37,162.52,0.8,5,8,14,0.36,13,24,7,14,14,10.0,9,False
3,2,5,1,1,1,6,3,0.17,2,3,2,0.67,8,3,1,17,1,15.99,12.44,2476.9,0.07,44,0.08,137.61,199.04,1.0,2,3,7,0.13,16,28,9,14,23,10.53,18,False
4,4,5,1,0,0,8,3,0.3,4,2,2,0.67,11,1,0,10,0,21.06,5.85,720.66,0.04,29,0.17,40.04,123.19,0.33,2,4,10,0.19,13,16,10,9,16,0.0,10,False
5,7,5,1,3,0,0,3,0.15,0,0,1,0.33,11,1,0,17,2,21.09,13.0,3563.68,0.09,72,0.08,197.98,274.13,0.33,0,0,10,0.11,26,46,7,7,28,15.0,20,False
6,5,11,5,0,0,20,6,0.46,10,2,5,0.83,26,1,0,13,0,27.56,14.4,5715.21,0.13,89,0.07,317.51,396.89,0.17,5,10,22,0.25,24,65,10,12,24,0.0,13,False
7,2,1,0,0,0,0,1,0.33,0,0,1,1.0,1,1,0,3,0,8.98,2.5,56.15,0.01,8,0.4,3.12,22.46,1.0,0,0,2,0.14,2,6,2,5,7,0.0,3,False
8,2,5,0,0,0,0,3,0.33,0,0,1,0.33,9,1,0,9,1,12.72,10.31,1352.83,0.04,29,0.1,75.16,131.18,0.33,0,0,8,0.23,11,18,8,15,13,0.0,9,False
9,36,21,1,18,43,38,11,0.16,18,2,3,0.27,42,1,0,51,0,15.89,87.82,122506.36,0.47,279,0.01,6805.91,1395.0,0.09,10,19,33,0.07,92,187,11,21,150,54.46,69,True
10,1,9,3,0,0,0,5,0.28,0,0,5,1.0,24,1,0,18,0,31.67,17.05,9208.55,0.18,109,0.06,511.59,540.01,0.2,0,0,21,0.24,54,55,19,12,21,0.0,18,False
11,6,5,1,1,4,8,3,0.25,4,2,1,0.33,11,1,0,11,1,12.3,29.0,10341.88,0.12,75,0.03,574.55,356.62,0.33,2,4,10,0.13,29,46,9,18,24,31.25,12,False
12,0,69,8,0,0,0,35,1.0,0,0,11,0.31,141,19,0,0,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.54,0,0,108,0.44,0,0,0,0,80,0.0,0,False
13,1,3,1,1,19,4,2,0.09,2,2,1,0.5,6,1,0,21,2,27.56,24.75,16880.93,0.23,139,0.04,937.83,682.06,0.5,1,2,6,0.04,33,106,12,18,45,48.78,22,False
14,10,17,1,1,3,30,9,0.31,14,2,5,0.56,31,7,0,28,0,13.96,25.07,8776.91,0.12,81,0.04,487.61,350.08,0.78,8,15,24,0.2,27,54,7,13,44,12.5,29,False
15,4,5,1,0,8,8,3,0.16,4,2,1,0.33,11,1,0,19,0,35.24,18.0,11416.47,0.21,120,0.06,634.25,634.25,0.33,2,4,10,0.09,42,78,21,18,33,29.63,19,False
16,3,3,0,1,2,0,2,0.18,0,0,1,0.5,6,1,0,10,0,8.34,18.67,2905.92,0.05,45,0.05,161.44,155.67,0.5,0,0,6,0.11,14,31,3,8,18,23.08,11,False
17,4,19,2,0,0,0,10,0.91,0,0,9,0.9,33,1,0,11,0,18.36,24.23,10774.87,0.15,97,0.04,598.6,444.74,0.1,0,0,25,0.59,41,56,11,13,17,0.0,11,False
18,2,3,2,0,0,4,2,0.18,2,2,2,1.0,8,1,0,11,0,16.4,7.07,820.29,0.04,29,0.14,45.57,116.0,0.5,1,2,8,0.13,11,18,7,9,16,0.0,11,False
19,7,5,5,0,0,4,3,0.25,2,2,3,1.0,15,1,0,12,0,30.46,3.75,428.33,0.04,30,0.27,23.8,114.22,0.33,1,2,14,0.11,10,20,8,6,28,0.0,12,False
20,5,1,1,0,3,0,1,0.06,0,0,1,1.0,3,1,0,18,1,28.84,13.33,5127.24,0.13,101,0.08,284.85,384.54,1.0,0,0,4,0.04,20,81,6,8,28,14.29,18,False
21,0,3,0,0,0,4,2,0.29,2,2,1,0.5,7,1,0,7,3,12.05,11.9,1706.44,0.05,40,0.08,94.8,143.4,0.5,1,2,7,0.22,17,23,5,7,9,0.0,7,False
22,1,1,1,1,5,0,1,0.08,0,0,1,1.0,2,1,0,11,2,22.1,14.57,4692.33,0.11,65,0.07,260.69,322.02,1.0,0,0,3,0.05,24,41,14,17,21,35.29,12,False
23,1,3,1,0,0,4,2,0.5,2,2,2,1.0,5,1,0,4,0,14.8,8.56,1083.64,0.04,28,0.12,60.2,126.66,0.5,1,2,5,0.25,11,17,9,14,8,0.0,4,False
24,4,5,3,0,0,6,3,0.21,2,3,2,0.67,12,1,0,14,0,29.04,10.58,3249.15,0.1,67,0.09,180.51,307.19,0.33,2,3,11,0.15,25,42,13,11,20,0.0,14,False
25,0,1,0,0,0,0,1,1.0,0,0,1,1.0,1,1,0,0,0,5.8,2.0,23.22,0.0,5,0.5,1.29,11.61,1.0,0,0,2,1.0,1,4,1,4,1,0.0,0,False
26,1,7,3,0,0,0,4,0.5,0,0,3,0.75,16,1,0,8,0,20.0,10.21,2087.05,0.07,49,0.1,115.95,204.33,0.25,0,0,14,0.27,13,36,7,11,15,0.0,8,False
27,0,1,1,0,0,0,1,1.0,0,0,1,1.0,2,1,0,0,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0,0,3,0.08,0,0,0,0,12,0.0,0,False
28,1,7,2,0,0,0,4,0.33,0,0,3,0.75,15,1,0,12,0,14.9,11.69,2035.55,0.06,41,0.09,113.09,174.17,0.25,0,0,13,0.25,17,24,8,11,16,0.0,12,False
29,1,19,0,17,0,0,10,0.21,0,0,1,0.1,40,8,0,31,3,29.53,47.36,66226.0,0.47,243,0.02,3679.22,1398.44,0.8,0,0,32,0.2,102,141,28,26,50,35.42,48,False
30,1,1,1,0,0,0,1,0.1,0,0,1,1.0,2,1,0,10,0,17.14,5.83,583.33,0.03,25,0.17,32.4,100.0,1.0,0,0,3,0.08,7,18,6,10,13,0.0,10,False
31,7,7,4,0,3,4,5,0.14,2,2,5,1.0,16,1,0,36,1,30.33,17.78,9587.04,0.18,106,0.06,532.61,539.27,0.2,1,2,13,0.1,40,66,18,16,48,7.69,36,False
32,11,7,6,1,11,4,5,0.17,2,2,5,1.0,19,1,0,29,0,46.18,10.67,5260.7,0.16,92,0.09,292.26,492.89,0.2,1,2,16,0.09,37,55,26,15,54,29.27,30,False
33,0,3,1,0,0,0,2,0.29,0,0,1,0.5,6,1,0,7,0,16.92,4.5,342.66,0.03,20,0.22,19.04,76.15,0.5,0,0,6,0.22,5,15,5,9,9,0.0,7,False
34,9,7,3,3,6,12,4,0.33,6,2,4,1.0,14,1,0,9,0,14.8,10.0,1480.0,0.05,37,0.1,82.22,148.0,0.25,3,6,12,0.14,12,25,6,10,29,50.0,12,False
35,1,11,4,0,0,0,6,0.5,0,0,5,0.83,26,1,0,12,0,22.66,14.44,4722.37,0.11,77,0.07,262.35,327.09,0.17,0,0,22,0.32,21,56,8,11,19,0.0,12,False
36,0,3,0,0,0,0,2,1.0,0,0,1,0.5,6,1,0,0,0,9.51,4.0,152.16,0.01,12,0.25,8.45,38.04,0.5,0,0,6,2.0,4,8,3,6,1,0.0,0,False
37,0,5,1,0,0,0,3,1.0,0,0,2,0.67,10,3,1,0,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0,0,9,0.33,0,0,0,0,9,0.0,0,False
38,1,11,1,1,1,0,6,0.3,0,0,2,0.33,17,6,1,19,2,10.03,35.21,12432.13,0.12,77,0.03,690.67,353.04,1.0,0,0,13,0.26,29,48,7,17,23,9.52,20,False
39,4,5,1,0,0,10,3,0.33,4,2,1,0.33,8,1,0,9,2,10.53,27.0,7675.23,0.09,62,0.04,426.4,284.27,0.33,3,5,7,0.2,18,44,6,18,15,0.0,9,False
40,14,5,0,4,3,8,3,0.06,4,2,1,0.33,9,1,0,43,0,95.83,13.45,17344.68,0.43,222,0.07,963.59,1289.23,0.33,2,4,8,0.05,89,133,43,13,66,14.0,47,False
41,2,1,0,0,0,0,1,0.17,0,0,1,1.0,1,1,0,6,1,11.29,9.0,914.21,0.03,26,0.11,50.79,101.58,1.0,0,0,2,0.1,9,17,5,10,10,0.0,6,False
42,7,17,6,7,0,0,9,0.39,0,0,7,0.78,38,7,0,16,0,27.48,21.35,12519.46,0.2,122,0.05,695.53,586.5,0.78,0,0,31,0.25,37,85,13,15,36,30.43,23,False
43,16,11,11,2,0,12,6,0.25,6,2,3,0.5,32,5,0,22,0,51.72,11.85,7268.38,0.2,111,0.08,403.8,613.12,0.83,3,6,28,0.14,49,62,31,15,42,8.33,24,False
44,3,1,1,0,1,0,1,0.5,0,0,1,1.0,2,1,0,2,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,3,0.13,1,3,1,3,8,33.33,2,False
45,1,107,7,0,0,0,54,0.72,0,0,24,0.44,219,25,0,75,3,46.04,88.2,358147.97,1.35,656,0.01,19897.11,4060.52,0.46,0,0,167,0.7,239,417,42,31,77,0.0,75,False
46,27,3,1,1,23,4,2,0.06,2,2,2,1.0,32,1,0,33,0,73.68,23.6,41036.32,0.58,339,0.04,2279.8,1738.83,0.5,1,2,32,0.02,118,221,25,10,86,42.11,34,True
47,3,5,2,0,0,6,3,0.33,2,3,3,1.0,9,3,1,9,1,16.47,9.33,1434.82,0.05,35,0.11,79.71,153.73,1.0,2,3,8,0.21,14,21,9,12,14,0.0,9,False
48,1,5,2,0,0,0,3,0.43,0,0,2,0.67,11,1,0,7,0,19.33,8.57,1420.02,0.06,39,0.12,78.89,165.67,0.33,0,0,10,0.21,10,29,7,12,14,0.0,7,False
49,8,3,7,0,8,4,2,0.15,2,2,2,1.0,11,1,0,13,0,35.04,3.85,519.3,0.04,33,0.26,28.85,134.89,0.5,1,2,11,0.06,11,22,10,7,31,38.1,13,True
50,10,1,1,1,0,0,1,0.33,0,0,1,1.0,4,1,0,2,1,12.06,1.5,27.14,0.01,7,0.67,1.51,18.09,1.0,0,0,5,0.06,3,4,3,3,18,33.33,3,False
51,1,3,2,0,1,0,2,0.29,0,0,2,1.0,7,1,0,7,1,15.92,6.29,629.06,0.03,24,0.16,34.95,100.08,0.5,0,0,7,0.2,8,16,7,11,10,12.5,7,False
52,1,5,2,0,0,0,3,0.5,0,0,3,1.0,8,3,1,6,0,19.38,5.06,496.63,0.03,24,0.2,27.59,98.1,1.0,0,0,7,0.3,9,15,8,9,10,0.0,6,False
53,0,1,0,0,0,0,1,0.5,0,0,1,1.0,1,1,0,2,0,12.06,1.5,27.14,0.01,7,0.67,1.51,18.09,1.0,0,0,2,0.25,3,4,3,3,4,0.0,2,False
54,0,3,1,0,0,0,2,1.0,0,0,1,0.5,7,1,0,0,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0,0,7,0.13,0,0,0,0,15,0.0,0,False
