group,value
Decision Tree-DQN,0.86
Decision Tree-DQN,0.87
Decision Tree-DQN,0.84
Decision Tree-DQN,0.80
Decision Tree-DQN,0.87
Decision Tree-DQN,0.79
Decision Tree-DQN,0.85
Decision Tree-DQN,0.88
Decision Tree-DQN,0.87
Decision Tree-DQN,0.83
Decision Tree-DQN,0.89
Decision Tree-DQN,0.81
Decision Tree-DQN,0.79
Decision Tree-DQN,0.79
Decision Tree-DQN,0.74
Decision Tree-DQN,0.79
Decision Tree-DQN,0.76
Decision Tree-DQN,0.78
Decision Tree-DQN,0.75
Decision Tree-DQN,0.74
Decision Tree-DQN,0.76
Decision Tree-DQN,0.74
PCA,0.84
PCA,0.82
PCA,0.72
PCA,0.78
PCA,0.73
PCA,0.81
PCA,0.76
PCA,0.77
PCA,0.88
PCA,0.86
PCA,0.79
PCA,0.76
PCA,0.69
PCA,0.72
PCA,0.81
PCA,0.75
PCA,0.75
PCA,0.66
PCA,0.69
PCA,0.71
PCA,0.76
PCA,0.79
ECE,0.75
ECE,0.79
ECE,0.78
ECE,0.81
ECE,0.72
ECE,0.69
ECE,0.77
ECE,0.66
ECE,0.72
ECE,0.79
ECE,0.76
ECE,0.77
ECE,0.66
ECE,0.75
ECE,0.65
ECE,0.77
ECE,0.69
ECE,0.52
ECE,0.65
ECE,0.71
ECE,0.69
ECE,0.69
IG,0.72
IG,0.75
IG,0.76
IG,0.65
IG,0.65
IG,0.81
IG,0.69
IG,0.79
IG,0.69
IG,0.78
IG,0.79
IG,0.68
IG,0.72
IG,0.78
IG,0.66
IG,0.69
IG,0.72
IG,0.78
IG,0.82
IG,0.73
IG,0.56
IG,0.74
CS,0.79
CS,0.69
CS,0.78
CS,0.87
CS,0.86
CS,0.72
CS,0.63
CS,0.78
CS,0.81
CS,0.79
CS,0.82
CS,0.72
CS,0.77
CS,0.69
CS,0.72
CS,0.77
CS,0.69
CS,0.65
CS,0.72
CS,0.73
CS,0.69
CS,0.74
