group,value
Decision Tree-DQN,0.82
Decision Tree-DQN,0.83
Decision Tree-DQN,0.79
Decision Tree-DQN,0.88
Decision Tree-DQN,0.77
Decision Tree-DQN,0.79
Decision Tree-DQN,0.89
Decision Tree-DQN,0.79
Decision Tree-DQN,0.82
Decision Tree-DQN,0.79
Decision Tree-DQN,0.82
Decision Tree-DQN,0.81
Decision Tree-DQN,0.79
Decision Tree-DQN,0.93
Decision Tree-DQN,0.85
Decision Tree-DQN,0.88
Decision Tree-DQN,0.89
Decision Tree-DQN,0.82
Decision Tree-DQN,0.81
Decision Tree-DQN,0.81
Decision Tree-DQN,0.84
Decision Tree-DQN,0.75
PCA,0.73
PCA,0.72
PCA,0.59
PCA,0.79
PCA,0.78
PCA,0.72
PCA,0.69
PCA,0.72
PCA,0.82
PCA,0.69
PCA,0.72
PCA,0.78
PCA,0.68
PCA,0.73
PCA,0.77
PCA,0.79
PCA,0.78
PCA,0.79
PCA,0.77
PCA,0.79
PCA,0.81
PCA,0.76
ECE,0.78
ECE,0.78
ECE,0.68
ECE,0.85
ECE,0.72
ECE,0.69
ECE,0.78
ECE,0.78
ECE,0.79
ECE,0.78
ECE,0.77
ECE,0.79
ECE,0.82
ECE,0.88
ECE,0.78
ECE,0.81
ECE,0.83
ECE,0.79
ECE,0.77
ECE,0.76
ECE,0.77
ECE,0.72
IG,0.78
IG,0.76
IG,0.72
IG,0.76
IG,0.72
IG,0.77
IG,0.82
IG,0.75
IG,0.78
IG,0.75
IG,0.79
IG,0.79
IG,0.71
IG,0.82
IG,0.79
IG,0.81
IG,0.83
IG,0.79
IG,0.79
IG,0.79
IG,0.76
IG,0.76
CS,0.81
CS,0.82
CS,0.75
CS,0.87
CS,0.76
CS,0.68
CS,0.72
CS,0.78
CS,0.75
CS,0.78
CS,0.81
CS,0.79
CS,0.72
CS,0.89
CS,0.77
CS,0.82
CS,0.86
CS,0.81
CS,0.80
CS,0.80
CS,0.78
CS,0.75
