group,value
SVM,0.8
SVM,0.71
SVM,0.74
SVM,0.96
SVM,0.76
SVM,0.72
SVM,0.86
SVM,0.82
SVM,0.82
SVM,0.76
SVM,0.81
SVM,0.69
SVM,0.79
SVM,0.99
SVM,0.78
SVM,0.85
SVM,0.72
SVM,0.72
SVM,0.71
SVM,0.85
SVM,0.78
SVM,0.81
SVM-DQN,0.88
SVM-DQN,0.74
SVM-DQN,0.82
SVM-DQN,0.82
SVM-DQN,0.78
SVM-DQN,0.84
SVM-DQN,0.78
SVM-DQN,0.85
SVM-DQN,0.79
SVM-DQN,0.81
SVM-DQN,0.82
SVM-DQN,0.73
SVM-DQN,0.74
SVM-DQN,0.76
SVM-DQN,0.71
SVM-DQN,0.77
SVM-DQN,0.75
SVM-DQN,0.73
SVM-DQN,0.75
SVM-DQN,0.81
SVM-DQN,0.71
SVM-DQN,0.76
KNN,0.82
KNN,0.7
KNN,0.72
KNN,0.95
KNN,0.69
KNN,0.78
KNN,0.89
KNN,0.84
KNN,0.69
KNN,0.71
KNN,0.82
KNN,0.52
KNN,0.74
KNN,0.83
KNN,0.75
KNN,0.75
KNN,0.68
KNN,0.72
KNN,0.66
KNN,0.69
KNN-DQN,0.86
KNN-DQN,0.84
KNN-DQN,0.79
KNN-DQN,0.84
KNN-DQN,0.79
KNN-DQN,0.78
KNN-DQN,0.86
KNN-DQN,0.88
KNN-DQN,0.86
KNN-DQN,0.82
KNN-DQN,0.85
KNN-DQN,0.71
KNN-DQN,0.76
KNN-DQN,0.74
KNN-DQN,0.72
KNN-DQN,0.79
KNN-DQN,0.79
KNN-DQN,0.77
KNN-DQN,0.78
KNN-DQN,0.75
KNN-DQN,0.76
KNN-DQN,0.72
DT,0.86
DT,0.42
DT,0.47
DT,0.93
DT,0.73
DT,0.73
DT,0.76
DT,0.79
DT,0.73
DT,0.74
DT,0.84
DT,0.72
DT,0.75
DT,0.87
DT,0.75
DT,0.79
DT,0.74
DT,0.68
DT,0.69
DT,0.59
DT,0.72
Decision Tree-DQN,0.86
Decision Tree-DQN,0.87
Decision Tree-DQN,0.84
Decision Tree-DQN,0.80
Decision Tree-DQN,0.87
Decision Tree-DQN,0.79
Decision Tree-DQN,0.85
Decision Tree-DQN,0.88
Decision Tree-DQN,0.87
Decision Tree-DQN,0.83
Decision Tree-DQN,0.89
Decision Tree-DQN,0.81
Decision Tree-DQN,0.79
Decision Tree-DQN,0.79
Decision Tree-DQN,0.74
Decision Tree-DQN,0.79
Decision Tree-DQN,0.76
Decision Tree-DQN,0.78
Decision Tree-DQN,0.75
Decision Tree-DQN,0.74
Decision Tree-DQN,0.76
Decision Tree-DQN,0.74
